node_type_id level model_type morphology model_template pop_name
100 high biophysical blank.swc hoc:PUD Bladaff
101 high biophysical blank.swc hoc:PUD EUSaff
102 NULL biophysical blank.swc hoc:PUD PAGaff
103 NULL biophysical blank.swc hoc:IND IND
104 NULL biophysical blank.swc hoc:HYPO Hypo
105 NULL biophysical blank.swc hoc:PUD INmplus
106 NULL biophysical blank.swc hoc:PUD INmminus
107 low biophysical blank.swc hoc:PGN PGN
108 NULL biophysical blank.swc hoc:PUD FB
109 NULL biophysical blank.swc hoc:IMG IMG
110 NULL biophysical blank.swc hoc:MPG MPG
111 NULL biophysical blank.swc hoc:PUD EUSmn
112 NULL biophysical blank.swc hoc:PUD Bladmn
