timestamps population node_ids
232.0000000001185 LUT 0
416.9000000001605 LUT 0
641.900000000064 LUT 0
841.8999999998821 LUT 0
85.2000000000973 LUT 1
142.00000000009803 LUT 1
216.00000000011485 LUT 1
283.00000000013006 LUT 1
349.00000000014506 LUT 1
419.000000000161 LUT 1
487.00000000017644 LUT 1
570.0000000001294 LUT 1
624.1000000000802 LUT 1
687.1000000000229 LUT 1
752.9999999999629 LUT 1
826.9999999998956 LUT 1
899.9999999998292 LUT 1
972.9999999997628 LUT 1
91.50000000009695 LUT 3
149.00000000009962 LUT 3
222.8000000001164 LUT 3
289.9000000001316 LUT 3
356.1000000001467 LUT 3
422.90000000016187 LUT 3
493.900000000178 LUT 3
576.7000000001233 LUT 3
631.5000000000734 LUT 3
694.1000000000165 LUT 3
760.0999999999565 LUT 3
833.8999999998894 LUT 3
906.7999999998231 LUT 3
979.8999999997566 LUT 3
237.20000000011967 LUT 4
422.1000000001617 LUT 4
647.1000000000593 LUT 4
847.0999999998774 LUT 4
87.80000000009716 LUT 5
91.40000000009695 LUT 6
148.20000000009944 LUT 6
222.20000000011626 LUT 6
289.20000000013147 LUT 6
355.2000000001465 LUT 6
425.2000000001624 LUT 6
493.20000000017785 LUT 6
576.2000000001237 LUT 6
630.3000000000745 LUT 6
693.3000000000172 LUT 6
759.1999999999573 LUT 6
833.19999999989 LUT 6
906.1999999998236 LUT 6
979.1999999997572 LUT 6
91.90000000009692 LUT 7
153.90000000010073 LUT 7
227.40000000011744 LUT 7
294.7000000001327 LUT 7
361.0000000001478 LUT 7
426.9000000001628 LUT 7
498.6000000001791 LUT 7
581.2000000001192 LUT 7
636.6000000000688 LUT 7
699.000000000012 LUT 7
764.999999999952 LUT 7
838.5999999998851 LUT 7
911.3999999998189 LUT 7
984.5999999997523 LUT 7
99.90000000009647 LUT 8
161.90000000010255 LUT 8
235.40000000011926 LUT 8
302.70000000013454 LUT 8
369.0000000001496 LUT 8
434.9000000001646 LUT 8
506.6000000001809 LUT 8
589.2000000001119 LUT 8
644.6000000000615 LUT 8
707.1000000000047 LUT 8
772.9999999999447 LUT 8
846.5999999998778 LUT 8
919.3999999998116 LUT 8
992.599999999745 LUT 8
93.30000000009684 LUT 11
150.00000000009985 LUT 11
224.00000000011667 LUT 11
291.0000000001319 LUT 11
357.0000000001469 LUT 11
427.0000000001628 LUT 11
495.00000000017826 LUT 11
578.0000000001221 LUT 11
632.2000000000728 LUT 11
695.2000000000155 LUT 11
760.9999999999557 LUT 11
834.9999999998884 LUT 11
907.999999999822 LUT 11
980.9999999997556 LUT 11
1041.9999999997 LUT 0
1232.9999999995264 LUT 0
1433.9999999993436 LUT 0
1618.9999999991753 LUT 0
1826.9999999989861 LUT 0
1056.9999999996865 LUT 1
1123.9999999996255 LUT 1
1199.9999999995564 LUT 1
1268.9999999994936 LUT 1
1336.9999999994318 LUT 1
1406.9999999993681 LUT 1
1481.9999999993 LUT 1
1558.9999999992299 LUT 1
1616.9999999991771 LUT 1
1682.999999999117 LUT 1
1754.9999999990516 LUT 1
1809.9999999990016 LUT 1
1873.0999999989442 LUT 1
1936.099999998887 LUT 1
1014.8999999997247 LUT 2
1988.899999998839 LUT 2
1021.6999999997186 LUT 3
1063.3999999996806 LUT 3
1131.2999999996189 LUT 3
1206.8999999995501 LUT 3
1248.4999999995123 LUT 3
1343.8999999994255 LUT 3
1413.9999999993618 LUT 3
1488.6999999992938 LUT 3
1565.8999999992236 LUT 3
1622.9999999991717 LUT 3
1689.9999999991107 LUT 3
1761.8999999990453 LUT 3
1817.3999999989949 LUT 3
1880.0999999989378 LUT 3
1943.1999999988805 LUT 3
1995.399999998833 LUT 3
1047.699999999695 LUT 4
1238.1999999995217 LUT 4
1439.1999999993388 LUT 4
1624.2999999991705 LUT 4
1832.1999999989814 LUT 4
1023.9999999997165 LUT 5
1997.9999999988306 LUT 5
1063.1999999996808 LUT 6
1130.1999999996199 LUT 6
1206.1999999995508 LUT 6
1275.199999999488 LUT 6
1343.1999999994262 LUT 6
1413.1999999993625 LUT 6
1488.1999999992943 LUT 6
1565.1999999992242 LUT 6
1623.1999999991715 LUT 6
1689.1999999991115 LUT 6
1761.199999999046 LUT 6
1816.199999998996 LUT 6
1879.2999999989386 LUT 6
1942.2999999988813 LUT 6
1025.8999999997147 LUT 7
1067.9999999996764 LUT 7
1136.2999999996143 LUT 7
1211.5999999995458 LUT 7
1252.6999999995085 LUT 7
1348.5999999994212 LUT 7
1418.7999999993574 LUT 7
1493.2999999992896 LUT 7
1570.5999999992193 LUT 7
1627.3999999991677 LUT 7
1694.7999999991064 LUT 7
1766.599999999041 LUT 7
